inspec_ym,inspec_loc,pH,water02,SS,water04,water05,DO,TP,대장균총,분원성대장균,수온,EC,water12,water13,water14,water15,water16,water17,water18,water19,TN,water21,water22,water23,water24,water25,water26,water27,area_CODE,area_NAME,river_CODE,river_NAME,loc_NAME,loc_ADDR,year,month,river_name,track,ecoli_label_raw,label_A,label_B
202103,328,8.5,0.9,4.7,3.7,3.5,12.1,0.036,4650.0,1008.0,10.6,364.0,0.0,0.0,,,0.0,0.0,0.0,0.039,2.511,2.892,2.914,0.013,0.035,0.0,10.4,0.0,1,수영강,29,온천천,온천천(온천),온천교,2021,3,온천천,A,1008.0,1,0
202103,329,7.8,2.3,6.3,4.7,5.1,10.2,0.133,65860.0,10412.0,11.5,425.0,0.0,0.0,,,0.0,0.0,0.0,1.067,2.455,4.009,4.046,0.103,0.113,0.0,5.2,0.0,1,수영강,29,온천천,온천천(세병),세병교,2021,3,온천천,A,10412.0,1,0
202104,206,7.5,6.7,9.9,6.3,2.0,5.2,1.184,344000.0,15000.0,13.7,711.0,0.0,,,,,,,10.368,1.212,12.185,13.0,1.061,1.1,,0.1,,2,중부산,3,동천,동천1,광무교,2021,4,동천,B,15000.0,1,0
202104,207,7.7,1.3,3.0,2.0,2.5,6.6,0.13,13950.0,1500.0,14.8,49197.0,0.0,,,,,,,0.421,0.051,0.772,0.922,0.063,0.081,,4.7,,2,중부산,3,동천,동천2,범4호교,2021,4,동천,B,1500.0,1,0
202104,208,7.2,4.6,4.7,2.8,8.0,1.6,0.186,344800.0,10100.0,15.3,47437.0,0.0,,,,,,,0.862,0.045,1.405,1.731,0.106,0.133,,1.0,,2,중부산,3,동천,동천3,범일교,2021,4,동천,B,10100.0,1,1
202104,215,7.9,1.4,4.4,3.3,5.3,10.9,0.078,756800.0,6464.0,16.8,0.0,0.0,,,,,,,0.164,1.948,2.266,3.06,0.049,0.055,,3.0,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,2021,4,온천천,A,6464.0,1,0
202104,216,7.5,3.6,6.6,4.2,5.8,8.2,0.261,774600.0,6820.0,17.2,0.0,0.0,,,,,,,1.998,1.635,4.046,4.488,0.154,0.195,,1.3,,1,수영강,29,온천천,온천천2(연안교),연안교,2021,4,온천천,A,6820.0,1,0
202104,312,7.5,2.1,2.8,2.1,5.9,3.3,0.122,,,14.7,48993.0,0.0,,,,,,,0.498,0.045,0.888,1.127,0.068,0.086,,4.3,,2,중부산,3,동천,동천2-1,범3호교(성서교),2021,4,동천,B,,0,0
202104,327,7.8,0.7,3.2,2.0,4.0,11.0,0.044,,,14.1,175.0,0.0,,,,,,,0.0,1.518,1.561,1.748,0.013,0.032,,7.0,,1,수영강,29,온천천,온천천(청룡),청룡2호교,2021,4,온천천,A,,0,0
202104,328,7.7,1.3,4.2,2.7,4.2,9.8,0.088,,,15.8,218.0,0.0,,,,,,,0.324,1.855,2.334,2.555,0.047,0.05,,3.1,,1,수영강,29,온천천,온천천(온천),온천교,2021,4,온천천,A,,0,0
